"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
45,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.217011,0.212479,-0.0729946,2.82194e-05,-5.62854e-06,-8.26446e-05,0.000120758,-9.81675e-05,-0.269734,-8.04282e-05,-0.000805715,10.017,10.0178
46,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.267819,0.220455,-0.0887181,1.95771e-05,4.97793e-05,-7.4364e-05,0.000135882,-6.65255e-05,-0.393966,-1.09226e-05,-0.00010942,10.0177,10.0178
47,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.321089,0.221532,-0.0910417,8.76209e-06,5.66153e-05,-7.02337e-05,0.00015829,-9.29123e-05,-0.485073,-2.06827e-07,-2.07195e-06,10.0178,10.0178
48,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.378297,0.22901,-0.0931643,5.16204e-06,7.03369e-05,-4.09646e-05,0.000171983,-9.64844e-05,-0.403668,-6.25817e-08,-6.26932e-07,10.0178,10.0178
49,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.394019,0.228636,-0.11475,4.96518e-07,7.56131e-05,-5.46732e-05,0.000176468,-0.000100358,-0.555519,1.85105e-05,0.000185435,10.018,10.0178
50,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.398525,0.233134,-0.201675,-2.75329e-05,9.11649e-05,-8.64569e-05,0.000183978,-0.000120346,-0.579084,1.96293e-05,0.000196643,10.018,10.0178
51,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.398899,0.233489,-0.280976,-7.90039e-06,0.000133698,-6.07504e-05,0.000213872,-8.80741e-05,-0.514669,8.26481e-05,0.000827953,10.0186,10.0178
52,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.401886,0.237779,-0.330403,-5.43555e-05,0.000127493,-3.79312e-05,0.000187655,-0.000114518,-0.482007,7.68438e-06,7.69806e-05,10.0179,10.0178
53,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.40389,0.238738,-0.37763,-1.04921e-05,0.000148032,-8.18205e-05,0.000227226,-8.96854e-05,-0.617646,4.86109e-05,0.000486975,10.0183,10.0178
54,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.403988,0.24007,-0.411552,8.66706e-06,0.000153426,8.98732e-06,0.000246111,-8.40178e-05,-0.133932,2.29949e-05,0.000230358,10.018,10.0178
55,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.405754,0.240274,-0.426901,-5.3349e-05,0.000196627,-6.25513e-05,0.00025241,-0.000109132,-0.657416,8.53046e-05,0.000854566,10.0187,10.0178
56,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.405405,0.243645,-0.447528,-2.44626e-05,0.00020992,-0.000136273,0.000272845,-8.73874e-05,-0.78173,0.000113783,0.00113986,10.019,10.0178
57,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.408092,0.242159,-0.467499,-7.77817e-05,0.000267177,-9.11649e-05,0.000306469,-0.000117073,-0.769741,0.000152003,0.00152274,10.0193,10.0178
58,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.409723,0.248884,-0.474338,-0.000121252,0.000272266,-9.36798e-05,0.000303444,-0.00015243,-0.846831,0.000174541,0.00174852,10.0196,10.0178
59,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.408717,0.244574,-0.493946,-1.74711e-05,0.000291047,-0.000111183,0.000330521,-5.69445e-05,-0.825248,0.000217931,0.00218319,10.02,10.0178
60,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.411315,0.249065,-0.498691,-0.00016178,0.000243516,-7.94664e-06,0.000262215,-0.000180479,-0.381515,0.000157565,0.00157846,10.0194,10.0178
61,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.412987,0.249377,-0.501235,-0.00010558,0.00031381,-7.86274e-05,0.000341707,-0.000133477,-0.877395,0.000243648,0.00244082,10.0203,10.0178
62,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.413345,0.247612,-0.512389,-4.14821e-05,0.000386342,-7.04422e-05,0.000406312,-6.14519e-05,-0.869725,0.000343606,0.00344218,10.0213,10.0178
63,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.416067,0.251949,-0.516513,-9.87443e-05,0.000359302,-6.69037e-05,0.000380856,-0.000120298,-0.766273,0.000321565,0.00322138,10.021,10.0178
64,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.418535,0.253216,-0.520546,-9.25633e-05,0.000350667,-0.000107249,0.000378357,-0.000120253,-0.899214,0.000342158,0.00342767,10.0212,10.0178
65,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.418387,0.25113,-0.523557,-8.64722e-05,0.000377929,-0.000127625,0.000396473,-0.000105016,-1.09624,0.000358896,0.00359535,10.0214,10.0178
66,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.421194,0.253892,-0.531317,-9.31607e-05,0.000382753,-8.26492e-05,0.000409264,-0.000119672,-0.785943,0.000390242,0.00390937,10.0217,10.0178
67,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.422722,0.25738,-0.532061,-0.000116993,0.000390151,-0.000125228,0.000416044,-0.000142886,-0.981732,0.000413887,0.00414624,10.022,10.0178
68,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.422576,0.252969,-0.531159,-0.0001027,0.000393101,-0.00010969,0.000414742,-0.000124341,-1.03774,0.000404003,0.00404723,10.0219,10.0178
69,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.423207,0.255353,-0.537526,-0.000118769,0.000390461,-0.000121217,0.00040764,-0.000135948,-1.1247,0.000424247,0.00425003,10.0221,10.0178
70,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.424429,0.252719,-0.54014,-0.000102171,0.00039354,-9.60057e-05,0.000416461,-0.000125093,-0.845897,0.000442294,0.00443082,10.0222,10.0178
71,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.427843,0.258064,-0.546836,-0.000155783,0.000394602,-0.00010081,0.000417755,-0.000178936,-0.804017,0.000435319,0.00436094,10.0222,10.0178
72,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.427736,0.25358,-0.542638,-0.000144226,0.000385274,-0.000114315,0.000411199,-0.000170152,-0.94656,0.000446407,0.00447203,10.0223,10.0178
