Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
52,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000052_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000052_1.tif,48.567351,48.567768,0.021127,-10.383721,-10.430638,-10.389762,0.075869,0.000000,0.000000,0.000000
53,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000053_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000053_1.tif,49.067399,49.067993,0.030692,-10.383721,-10.430638,-10.389762,0.103968,0.000000,0.000000,0.000000
54,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000054_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000054_1.tif,49.567389,49.567855,0.041212,-10.383721,-10.430638,-10.389762,0.134878,0.000000,0.000000,0.000000
55,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000055_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000055_1.tif,50.067364,50.068000,0.052689,-10.383721,-10.430638,-10.389762,0.168597,0.000000,0.000000,0.000000
56,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000056_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000056_1.tif,50.567402,50.567776,0.062253,-10.383721,-10.430638,-10.389762,0.196697,0.000000,0.000000,0.000000
57,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000057_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000057_1.tif,51.067421,51.067881,0.073093,-10.383721,-10.430638,-10.389762,0.228543,0.000000,0.000000,0.000000
58,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000058_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000058_1.tif,51.567369,51.567834,0.084570,-10.383721,-10.430638,-10.389762,0.262263,0.000000,0.000000,0.000000
59,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000059_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000059_1.tif,52.067427,52.067784,0.092859,-10.383721,-10.430638,-10.389762,0.286615,0.000000,0.000000,0.000000
60,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000060_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000060_1.tif,52.567412,52.567888,0.097003,-10.383721,-10.430638,-10.389762,0.298792,0.000000,0.000000,0.000000
61,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000061_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000061_1.tif,53.067372,53.067766,0.104017,-10.383721,-10.430638,-10.389762,0.319398,0.000000,0.000000,0.000000
62,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000062_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000062_1.tif,53.567357,53.567751,0.109437,-10.383721,-10.430638,-10.389762,0.335321,0.000000,0.000000,0.000000
63,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000063_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000063_1.tif,54.067460,54.067921,0.112306,-10.383721,-10.430638,-10.389762,0.343751,0.000000,0.000000,0.000000
64,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000064_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000064_1.tif,54.567449,54.568000,0.116769,-10.383721,-10.430638,-10.389762,0.356864,0.000000,0.000000,0.000000
65,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000065_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000065_1.tif,55.067418,55.067836,0.120914,-10.383721,-10.430638,-10.389762,0.369041,0.000000,0.000000,0.000000
66,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000066_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000066_1.tif,55.567394,55.567824,0.124102,-10.383721,-10.430638,-10.389762,0.378407,0.000000,0.000000,0.000000
67,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000067_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000067_1.tif,56.067419,56.067969,0.130478,-10.383721,-10.430638,-10.389762,0.397140,0.000000,0.000000,0.000000
68,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000068_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000068_1.tif,56.567445,56.567881,0.134303,-10.383721,-10.430638,-10.389762,0.408380,0.000000,0.000000,0.000000
69,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000069_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000069_1.tif,57.067463,57.068004,0.138767,-10.383721,-10.430638,-10.389762,0.421493,0.000000,0.000000,0.000000
70,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000070_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000070_1.tif,57.567452,57.567888,0.144186,-10.383721,-10.430638,-10.389762,0.437416,0.000000,0.000000,0.000000
71,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000071_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000071_1.tif,58.067415,58.067780,0.148650,-10.383721,-10.430638,-10.389762,0.450530,0.000000,0.000000,0.000000
72,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000072_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000072_1.tif,58.567414,58.567950,0.152157,-10.383721,-10.430638,-10.389762,0.460833,0.000000,0.000000,0.000000
73,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000073_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000073_1.tif,59.067335,59.067754,0.157576,-10.383721,-10.430638,-10.389762,0.476756,0.000000,0.000000,0.000000
74,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000074_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000074_1.tif,59.567393,59.567898,0.163315,-10.383721,-10.430638,-10.389762,0.493616,0.000000,0.000000,0.000000
75,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000075_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000075_1.tif,60.067492,60.067912,0.169372,-10.383721,-10.430638,-10.389762,0.511412,0.000000,0.000000,0.000000
76,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000076_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000076_1.tif,60.567465,60.567848,0.175111,-10.383721,-10.430638,-10.389762,0.528272,0.000000,0.000000,0.000000
77,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000077_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000077_1.tif,61.067353,61.067750,0.178936,-10.383721,-10.430638,-10.389762,0.539512,0.000000,0.000000,0.000000
