Average,,,,,,,,,,,,,E0,,,
Index [1],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,ΔL/L0 [1],ΔL [mm],L1 [mm],L0 [mm]
64,1.74E-09,1.97E-09,2.19E-12,-0.15582,0.260101,-0.528037,-7.04E-05,0.000150643,-9.55E-05,0.000207041,-0.000126841,-0.811645,0.000241914,0.00241667,9.99221,9.98979
65,1.74E-09,1.97E-09,2.19E-12,-0.158599,0.258144,-0.531413,-6.80E-05,0.000183591,-5.33E-05,0.000231219,-0.000115644,-0.585965,0.000256466,0.00256205,9.99236,9.98979
66,1.74E-09,1.97E-09,2.19E-12,-0.157666,0.262953,-0.53537,-7.81E-05,0.000209539,-0.000122861,0.000255812,-0.000124389,-0.904931,0.000250702,0.00250446,9.9923,9.98979
67,1.74E-09,1.97E-09,2.19E-12,-0.15912,0.259109,-0.538116,-0.000100838,0.000254299,-7.05E-05,0.000285524,-0.000132062,-0.628616,0.00024716,0.00246908,9.99226,9.98979
68,1.74E-09,1.97E-09,2.19E-12,-0.160137,0.262391,-0.540403,-9.89E-05,0.0002559,-0.000152092,0.000301403,-0.000144405,-0.872338,0.000314236,0.00313915,9.99293,9.98979
69,1.74E-09,1.97E-09,2.19E-12,-0.162219,0.261714,-0.542305,-0.000116633,0.000271199,-9.74E-05,0.000303593,-0.000149027,-0.927202,0.000274188,0.00273908,9.99253,9.98979
70,1.74E-09,1.97E-09,2.19E-12,-0.161761,0.260857,-0.548635,-9.16E-05,0.000296387,-0.000109436,0.000328212,-0.000123393,-0.792612,0.000330711,0.00330373,9.9931,9.98979
71,1.74E-09,1.97E-09,2.19E-12,-0.162933,0.263894,-0.553694,-7.07E-05,0.000314085,-0.000128682,0.000349923,-0.00010654,-0.976729,0.000337839,0.00337494,9.99317,9.98979
72,1.74E-09,1.97E-09,2.19E-12,-0.161897,0.263368,-0.559575,-0.000103025,0.000357061,-0.000144995,0.000394504,-0.000140467,-1.05053,0.00036706,0.00366685,9.99346,9.98979
73,1.74E-09,1.97E-09,2.19E-12,-0.162671,0.265255,-0.561144,-0.000132879,0.000374235,-0.000141858,0.000404265,-0.000162909,-0.947087,0.000321755,0.00321426,9.99301,9.98979
74,1.74E-09,1.97E-09,2.19E-12,-0.164133,0.266173,-0.562948,-0.000152109,0.00037011,-0.000141189,0.000405683,-0.000187683,-0.99906,0.000374283,0.00373901,9.99353,9.98979
75,1.74E-09,1.97E-09,2.19E-12,-0.164134,0.266223,-0.567601,-0.000140681,0.00042222,-0.000100332,0.000442755,-0.000161216,-0.808944,0.00039279,0.00392389,9.99372,9.98979
76,1.74E-09,1.97E-09,2.19E-12,-0.166032,0.266686,-0.569694,-0.000115294,0.00044948,-0.000130492,0.000480936,-0.000146751,-0.899255,0.000440545,0.00440095,9.99419,9.98979
77,1.74E-09,1.97E-09,2.19E-12,-0.164565,0.267742,-0.575033,-9.54E-05,0.000459992,-0.000146086,0.000503543,-0.000138931,-0.92229,0.000438399,0.00437952,9.99417,9.98979
78,1.74E-09,1.97E-09,2.19E-12,-0.165549,0.266187,-0.580043,-0.000162059,0.000460539,-0.000174102,0.000496497,-0.000198018,-1.0577,0.000426864,0.00426429,9.99406,9.98979
79,1.74E-09,1.97E-09,2.19E-12,-0.165008,0.270829,-0.588017,-0.000105002,0.000510281,-0.000151754,0.000543039,-0.00013776,-0.979314,0.00049575,0.00495244,9.99475,9.98979
