Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
35,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000035_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000035_1.tif,47.602813,47.603135,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
36,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000036_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000036_1.tif,48.102902,48.103259,0.000724,-10.383721,-10.430638,-10.389762,0.015923,0.000000,0.000000,0.000000
37,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000037_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000037_1.tif,48.602869,48.603183,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
38,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000038_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000038_1.tif,49.102868,49.103236,0.001680,-10.383721,-10.430638,-10.389762,0.018733,0.000000,0.000000,0.000000
39,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000039_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000039_1.tif,49.602843,49.603201,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
40,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000040_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000040_1.tif,50.102809,50.103135,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
41,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000041_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000041_1.tif,50.602801,50.603158,0.000724,-10.383721,-10.430638,-10.389762,0.015923,0.000000,0.000000,0.000000
42,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000042_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000042_1.tif,51.102793,51.103173,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
43,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000043_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000043_1.tif,51.602820,51.603181,0.000724,-10.383721,-10.430638,-10.389762,0.015923,0.000000,0.000000,0.000000
44,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000044_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000044_1.tif,52.102820,52.103145,0.001043,-10.383721,-10.430638,-10.389762,0.016860,0.000000,0.000000,0.000000
